country,dates,flag,description
United States of America,1775-1777,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Grand_Union_Flag.svg/1024px-Grand_Union_Flag.svg.png,"The first (unofficial) flag of the United States, the ""Grand Union Flag"" or ""Continental Colors"", was easily produced by sewing white stripes onto the British Red Ensign."
British Heligoland,1807-1890,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Flag_of_British_Heligoland.svg/1024px-Flag_of_British_Heligoland.svg.png,"This German archipelago was administered by Britain for 80 years following the Napoleonic Wars, and had an unusual combination of a tricolour and a Union Jack."
United States of the Ionian Islands,1815-1864,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Flag_of_the_United_States_of_the_Ionian_Islands.svg/1024px-Flag_of_the_United_States_of_the_Ionian_Islands.svg.png,"These Greek islands, previously under French rule, were an amical protectorate of the UK between 1815 and 1864, when they were ceded to the newly independent Greece."
Hawaii,1845-,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hawaii.svg/1024px-Flag_of_Hawaii.svg.png,"The Hawaiian flag was designed for King Kamehameha, probably by an advisor who used to be in the British Royal Navy. It was kept following the American annexation."
Murray River,1850-,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Murray_River_Flag_%28Upper%29.svg/1024px-Murray_River_Flag_%28Upper%29.svg.png,"The Murrary River flag was one of a number of 19th century Australian flags, and is still used by vessels on the Murray-Darling river system."
South Africa,1928-1994,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Flag_of_South_Africa_%281928-1994%29.svg/1024px-Flag_of_South_Africa_%281928-1994%29.svg.png,"The old South African flag, based on the Dutch Prince's Flag, contained the Union Jack (as well as the Orange Free State and South African Republic flags). The Jack's hoist is on the right, making it appear 'upside down'."
British Columbia,1960-,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_British_Columbia.svg/1024px-Flag_of_British_Columbia.svg.png,"The flag of British Columbia is based on the 1906 provincial coat of arms. This originally had the defaced Union Jack at the bottom, but was changed since ""The sun never sets on the British Empire"."".
Newfoundland and Labrador,1980-,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Newfoundland_and_Labrador.svg/1024px-Flag_of_Newfoundland_and_Labrador.svg.png,"Designed by Canadian artist Christopher Pratt, the Newfoundland and Labrador flag includes a highly stylised Union Jack."
British Indian Ocean Territory,1990-,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_the_British_Indian_Ocean_Territory.svg/1024px-Flag_of_the_British_Indian_Ocean_Territory.svg.png,"Despite having a flag, the BIOT has had no civilian population since Britain forcibly expelled the indigenous Chagossian population in 1973 to make way for a US military base."
Chagossian Community,c. 2000-,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_CSSC.svg/1024px-Flag_of_CSSC.svg.png,"The Chagos Islanders flag is used by the remaining Chagossians in their fight to return to their homeland."